LLM,No,Best_Score,Match,Category,Reasoning
Deepseek-V3-RAG,33,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,34,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,35,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,36,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,37,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,38,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,39,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,40,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,41,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,42,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,43,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,44,0.0,False,unknown,No reasoning provided
Deepseek-V3-RAG,45,0.0,False,unknown,No reasoning provided
